claim_id,claim,status,evidence,verification,allowed_wording,forbidden_wording
C01,"The environment redacts hidden sleeper truth from agent observations",implemented,"environment.py:get_observation","Unit/property test plus code inspection","hidden fields are removed from the policy observation","the agent can never infer sleeper identity"
C02,"The Gym adapter exposes 136 floats and MultiDiscrete([8,12,7]) with a canonical joint mask",implemented,"gym_wrapper.py:OBS_SIZE action_space and get_action_mask","Construct wrapper; enumerate mask; validate every admitted action","implements a 136-feature fully addressable masked interface for the current schema","supports arbitrary future worker counts without schema migration"
C03,"The native PPO network has 102812 parameters",implemented,"train_rl.py PanopticonAgent","Instantiate and count parameters","the version-2 PPO model has 102812 parameters","PPO outperforms the baselines"
C04,"V5 uses Qwen2.5-1.5B-Instruct with LoRA rank 16 alpha 32",implemented,"train_trl_v2.py and evaluation_comparison_latest.json","Configuration extraction","V5 is configured with...","all reported gains are caused by LoRA"
C05,"The accepted V5 expert dataset has 250 episodes and 88896 weighted examples",measured,"evaluation_comparison_latest.json training metadata","extract_metrics.py consistency check","the checked-in summary records...","88896 independent trajectories"
C06,"Raw V5 macro grade exceeds base by 0.060517",preliminary,"evaluation_comparison_latest.json level_macro_averages","deterministic extraction","in the checked-in preliminary evaluation","statistically proven superior"
C07,"Raw V5 fails nine advanced acceptance checks",preliminary,"evaluation_comparison_latest.json acceptance.raw_v5_trained.failed_checks","deterministic count","fails nine stored checks","is generally unsafe in every deployment"
C08,"The supervisor passes the checked-in acceptance gate",preliminary,"evaluation_comparison_latest.json acceptance.security_first_supervisor","deterministic extraction","the separately evaluated supervisor passes sampled gates","the raw neural model passes"
C09,"The hard gate prevents aggregate score from overriding advanced failures",implemented,"grader.py CellGrader and ManchurianGrader","Construct counterexample episode","advanced passing requires conjunctive constraints","the grader proves real-world safety"
C10,"Panopticon supports raw/repaired/supervised provenance separation",implemented_current,"inference_local.py and v6_evaluation.py","integration test and telemetry audit","current V6 records separate raw and executed actions plus intervention categories","historical results already contain complete intervention telemetry"
C11,"Constraint Masking Gap measures aggregate-pass but operational-fail episodes",implemented_extension,"panopticon_bench/metrics.py","unit tests with synthetic records","CMG is a proposed benchmark metric","CMG is an established universal safety metric"
C12,"The benchmark can target arbitrary agentic applications",prototype,"panopticon_bench/adapters.py and runner.py","mock/callable adapter integration test","the adapter protocol is designed for external targets","production connectors and enterprise integrations are complete"
C13,"Panopticon models long-horizon latent compromise",implemented_and_proposed,"environment.py sleeper schedules plus panopticon_bench scenario schema","scenario tests and timing metrics","the environment operationalizes delayed activation and phased evidence","it faithfully models real insider threats"
C14,"The current API is production multi-tenant",false,"_server.py global _env and absent tenant/auth model","architecture inspection","the current server is a local/demo evaluator","enterprise-ready runtime gateway"
C15,"Final scientific conclusions include uncertainty and ablations",planned,"evaluation_protocol.md statistical_analysis_plan.md ablation_plan.md","submission gate","the final protocol will...","the current 20-episode summary completes the planned study"
C16,"HydraMemory is a self-learning neural model",false,"models.py HydraMemory and hydra_policy.py ScriptedHydraPolicy","code inspection and reproducibility test","scripted_memory_v1 adapts through episode-local counters and rules","the original HYDRA learns neural weights"
C17,"A trainable neural HYDRA policy exists",implemented_unvalidated,"hydra_neural.py train_hydra.py and learned_hydra_protocol.md","training smoke test plus held-out study pending","a 12685-parameter simulator-only neural adversary is implemented","learned HYDRA is stronger than the scripted baseline"